,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,System CAR Code (Daily),DPD,age,Vehicle Age
36946,3000.0,3000.0,12,0,8,10000.0,1,18,136,2000,0,PL,58,23
36952,16500.0,16152.87,36,0,9,10000.0,1,4,143,2008,0,PL,57,15
36973,23000.0,22523.61,36,1,4,9000.0,1,3,104,2019,0,PL,23,4
36995,15000.0,14480.87,24,0,9,30000.0,2,5,36,2012,0,PL,55,11
37149,15000.0,15000.0,24,0,4,10000.0,1,4,144,2010,0,PL,31,13
37380,18300.0,18300.0,36,0,4,30000.0,1,4,111,2016,0,PL,26,7
37419,129000.0,128112.14,108,1,0,30000.0,0,4,20,2005,1,PL,25,18
37528,25000.0,24942.34,24,1,4,24000.0,1,4,111,2019,0,PL,56,4
37696,10000.0,9745.09,36,0,4,16000.0,1,4,120,2007,0,PL,38,16
37888,29000.0,27746.62,36,0,0,20000.0,1,4,144,2016,0,PL,36,7
38076,20674.33,19976.43,42,0,8,9060.0,1,4,86,2017,1,PL,28,6
38079,230000.0,230000.0,120,0,7,19040.0,2,5,36,2007,1,PL,33,16
38080,240000.0,240000.0,108,1,5,22000.0,2,16,65,2009,1,PL,37,14
38082,31000.0,30528.16,54,0,8,9000.0,1,4,144,2017,1,PL,37,6
38091,15000.0,15000.0,18,0,8,15000.0,1,4,111,2012,1,PL,36,11
38093,195000.0,193158.1,120,0,0,30000.0,2,16,65,2011,1,PL,30,12
38456,200000.0,200000.0,72,1,0,20000.0,2,16,65,2014,1,PL,41,9
38458,21300.0,20897.04,60,1,6,25000.0,1,7,141,2020,1,PL,31,3
