,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,age,Vehicle Age,per_LTV,per_LTV_cate
122,81000,81000,60,M,STREET VENDOR,20000,CAR,HONDA,CITY,2003,AC,108500,S1,6/9/2022,S1,PL,47,20,74.65437788,65-75%
124,186200,186200,60,M,พนักงานรัฐวิสาหกิจ,22500,PU,NISSAN,NP300,2014,CP,286500,S1,16/9/2022,S1,PL,44,9,64.991274,65-75%
125,20000,18860.27,24,M,พนักงานบริษัท,16500,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,23/9/2022,S1,PL,42,4,45.45454545,30-50%
126,7600,4757.49,12,F,เกษตรกร,15000,MC,HONDA,WAVE 125,2006,AL,25500,S1,29/6/2022,S1,PL,53,17,29.80392157,30%
127,155000,154961.5,60,M,พนักงานบริษัท,20000,PU,ISUZU,D-MAX,2003,AI,190500,S1,2/9/2022,S1,PL,47,20,81.3648294,75%
128,100000,100000,48,F,STREET VENDOR,12000,CAR,HONDA,JAZZ,2004,AI,140000,S1,15/10/2022,S1,PL,61,19,71.42857143,65-75%
130,20000,20000,36,F,STREET VENDOR,15000,MC,YAMAHA,GRAND FILANO 125,2018,AS,38500,S1,29/12/2022,S1,PL,39,5,51.94805195,50-65%
131,28500,28500,36,F,พนักงานรัฐวิสาหกิจ,18000,MC,HONDA,SCOOPY I,2020,DB,38000,S1,27/12/2022,S1,PL,33,3,75,65-75%
132,30000,29235.2,24,M,เกษตรกร,10000,MC,HONDA,WAVE 110 I,2017,CT,41000,S1,26/10/2022,S1,PL,53,6,73.17073171,65-75%
133,21500,20673.48,36,F,อื่นๆ,15000,MC,HONDA,WAVE 125 X,2007,AX,29000,S1,21/9/2022,S1,PL,51,16,74.13793103,65-75%
134,110000,110000,60,F,STREET VENDOR,13000,CAR,MITSUBISHI,MIRAGE,2012,BF,180000,S1,14/12/2022,S1,PL,52,11,61.11111111,65-75%
135,29800,29800,36,F,อื่นๆ,9000,MC,HONDA,MSX 125,2019,BY,39500,S1,26/12/2022,S1,PL,53,4,75.44303797,75%
136,26000,25019.36,36,F,พนักงานบริษัท,21000,MC,HONDA,WAVE 110 I,2014,CH,35000,S1,21/10/2022,S1,PL,41,9,74.28571429,65-75%
137,26000,26000,24,M,อื่นๆ,15000,MC,HONDA,WAVE 110 I,2013,BW,35000,S1,7/12/2022,S1,PL,33,10,74.28571429,65-75%
138,9000,9000,12,F,พนักงานบริษัท,12000,MC,YAMAHA,MIO 125,2010,AE,12500,S1,28/12/2022,S1,PL,44,13,72,65-75%
139,28500,28500,36,F,พนักงานรัฐวิสาหกิจ,18000,MC,HONDA,SCOOPY I,2020,DB,38000,S1,27/12/2022,S1,PL,33,3,75,65-75%
140,190000,189434.5,60,M,อื่นๆ,20210,CAR,TOYOTA,VIOS,2013,DV,253500,S1,5/10/2022,S1,PL,42,10,74.95069034,65-75%
141,144600,141170.39,48,M,พนักงานบริษัท,20000,CAR,NISSAN,ALMERA,2013,BL,222500,S1,3/8/2022,S1,PL,38,10,64.98876404,65-75%
142,29000,27357.37,30,F,STREET VENDOR,15000,MC,HONDA,SCOOPY I,2019,CK,38500,S1,3/11/2022,S1,PL,49,4,75.32467532,75%
143,40000,36527.24,36,F,พนักงานบริษัท,15000,MC,HONDA,PCX 150,2018,DD,64500,S1,16/7/2022,S1,PL,23,5,62.01550388,65-75%
145,31500,31500,36,F,พนักงานบริษัท,7000,MC,HONDA,CLICK 125I,2019,BD,42000,S1,24/12/2022,S1,PL,26,4,75,65-75%
146,33000,33000,24,M,เกษตรกร,30000,MC,HONDA,WAVE 110 I,2020,EG,44000,S1,22/12/2022,S1,PL,34,3,75,65-75%
147,100000,98190.75,24,F,บุคลากรทางการแพทย์,20000,CAR,HONDA,JAZZ,2011,BI,288000,S1,2/11/2022,S1,PL,38,12,34.72222222,30-50%
148,57000,57000,36,F,อื่นๆ,9880,MC,HONDA,PCX 150,2020,ED,76500,S1,7/12/2022,S1,PL,27,3,74.50980392,65-75%
149,30000,28167.07,12,M,เกษตรกร,15000,PU,ISUZU,D-MAX,2018,AK,462000,S1,12/10/2022,S1,PL,46,5,6.493506494,30%
150,150000,149980.13,60,F,อาจารย์,22230,CAR,SUZUKI,SWIFT,2013,AD,265500,S1,17/9/2022,S1,PL,30,10,56.49717514,50-65%
151,187000,187000,36,M,พนักงานบริษัท,16000,CAR,TOYOTA,CAMRY,2008,AB,289000,S1,13/12/2022,S1,PL,55,15,64.70588235,65-75%
152,150000,150000,48,M,พนักงานบริษัท,20000,CAR,SUZUKI,SWIFT,2015,AH,236000,S1,24/12/2022,S1,PL,43,8,63.55932203,65-75%
153,16000,16000,12,M,อื่นๆ,25000,MC,HONDA,CLICK 125I,2011,AZ,22000,S1,23/9/2022,S1,PL,40,12,72.72727273,65-75%
154,199000,199000,60,F,อื่นๆ,15000,CAR,MAZDA,2,2014,AH,283000,S1,14/12/2022,S1,PL,51,9,70.3180212,65-75%
156,30000,23223.5,12,M,อื่นๆ,12000,MC,HONDA,WAVE 110 I,2021,DM,44000,S1,19/9/2022,S1,PL,44,2,68.18181818,65-75%
157,29400,28747.36,36,M,เกษตรกร,15000,MC,HONDA,PCX 150,2012,BU,39000,S1,13/9/2022,S1,PL,63,11,75.38461538,75%
158,20000,18576.18,24,F,เกษตรกร,10000,MC,HONDA,WAVE 110 I,2014,CH,35000,S1,27/10/2022,S1,PL,49,9,57.14285714,50-65%
159,17900,16830.06,24,F,พนักงานบริษัท,9000,MC,HONDA,SCOOPY I,2013,BG,24000,S1,21/6/2022,S1,PL,33,10,74.58333333,65-75%
161,34700,33810.8,36,F,เกษตรกร,10000,MC,HONDA,WAVE 110 I,2021,DQ,46000,S1,30/9/2022,S1,PL,58,2,75.43478261,75%
162,117000,117000,60,F,พนักงานบริษัท,9000,CAR,TOYOTA,VIOS,2006,AL,155500,S1,15/10/2022,S1,PL,54,17,75.24115756,75%
163,15000,13937.65,30,M,STREET VENDOR,15000,MC,HONDA,WAVE 110 I,2010,AJ,20000,S1,11/8/2022,S1,PL,49,13,75,65-75%
164,73000,69432.93,18,M,STREET VENDOR,40000,MC,HONDA,FORZA 300,2018,BK,112500,S1,14/7/2022,S1,PL,30,5,64.88888889,65-75%
165,255000,255000,60,M,เกษตรกร,20000,PU,TOYOTA,HILUX VIGO,2012,FK,364000,S1,28/12/2022,S1,PL,43,11,70.05494505,65-75%
166,33000,32950.31,24,F,อื่นๆ,14000,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,12/10/2022,S1,PL,38,4,75,65-75%
167,24000,22909.12,18,F,STREET VENDOR,20000,MC,HONDA,SCOOPY I,2018,BZ,33000,S1,18/11/2022,S1,PL,26,5,72.72727273,65-75%
168,22000,20348.67,36,F,พนักงานรัฐวิสาหกิจ,25000,CAR,TOYOTA,VIOS,2011,BE,237500,S1,8/11/2022,S2,PL,46,12,9.263157895,30%
169,222000,221944.36,60,F,พนักงานบริษัท,25000,PU,ISUZU,D-MAX,2007,CI,276000,S1,23/9/2022,S1,PL,45,16,80.43478261,75%
171,33000,32162.82,36,F,พนักงานบริษัท,15000,MC,HONDA,WAVE 110 I,2020,EG,44000,S1,7/12/2022,S1,PL,50,3,75,65-75%
172,310000,306255.22,60,M,พนักงานบริษัท,33224,PU,MITSUBISHI,TRITON,2017,BD,452000,S1,8/12/2022,S1,PL,35,6,68.5840708,65-75%
173,13000,13000,12,F,STREET VENDOR,40000,MC,YAMAHA,FINO (4DO),2010,AA,17500,S1,23/11/2022,S1,PL,42,13,74.28571429,65-75%
174,28000,27725.33,36,F,เกษตรกร,30000,PU,TOYOTA,HILUX VIGO,2006,CI,237000,S1,15/11/2022,S1,PL,53,17,11.81434599,30%
175,14000,13912,36,F,พนักงานบริษัท,14000,MC,HONDA,WAVE 110 I,2009,AF,19000,S1,20/8/2022,S1,PL,31,14,73.68421053,65-75%
176,180000,177060.86,60,F,STREET VENDOR,32000,CAR,TOYOTA,VIOS,2012,BF,277500,S1,10/10/2022,S1,PL,45,11,64.86486486,65-75%
177,29000,28555.29,24,F,พนักงานบริษัท,20000,MC,HONDA,MSX 125,2019,BY,39500,S1,29/11/2022,S1,PL,30,4,73.41772152,65-75%
178,200000,198981.32,60,F,พนักงานบริษัท,40790,CAR,HONDA,CITY,2013,AA,272500,S1,16/7/2022,S1,PL,49,10,73.39449541,65-75%
179,44200,44200,36,M,พนักงานบริษัท,13000,CAR,HONDA,ACCORD,2000,DN,147500,S1,16/12/2022,S1,PL,32,23,29.96610169,30%
180,20000,19975.21,18,M,อื่นๆ,10000,MC,HONDA,WAVE 125,2008,AP,27900,S1,18/8/2022,S1,PL,40,15,71.68458781,65-75%
183,278000,277505.35,60,M,พนักงานบริษัท,18000,PU,TOYOTA,HILUX VIGO,2014,BP,347500,S1,11/7/2022,S1,PL,41,9,80,75%
184,40000,40000,12,F,STREET VENDOR,30000,MC,HONDA,CLICK 160,2022,CP,57100,S1,15/11/2022,S1,PL,27,1,70.0525394,65-75%
187,140000,139982.58,60,F,พนักงานบริษัท,20000,CAR,MITSUBISHI,ATTRAGE,2013,BP,215500,S1,11/10/2022,S1,PL,33,10,64.96519722,65-75%
188,140000,140000,60,M,อื่นๆ,30000,PU,ISUZU,D-MAX,2005,CK,201500,S1,12/9/2022,S1,PL,54,18,69.47890819,65-75%
