,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,age,Vehicle Age
1505,18700.0,18700.0,18,M,อื่นๆ,30000.0,MC,HONDA,SCOOPY I,2014,BV,25000,S3,2023-01-05,S2,NPL,60,9
1506,27000.0,27000.0,36,M,STREET VENDOR,20000.0,MC,YAMAHA,M-SLAZ 150,2016,AR,37000,S2,2022-11-18,S1,NPL,24,7
1507,26000.0,26000.0,24,F,อื่นๆ,10000.0,MC,YAMAHA,GRAND FILANO 125,2018,AV,34500,S3,2023-01-13,S2,NPL,29,5
1508,33000.0,33000.0,36,M,อื่นๆ,12000.0,MC,HONDA,WAVE 110I,2022,CH,44500,S2,2022-11-24,S1,NPL,43,1
1509,24000.0,24000.0,12,F,STREET VENDOR,30000.0,MC,HONDA,SCOOPY I,2018,BZ,33000,S3,2023-01-13,S2,NPL,53,5
1510,15000.0,15000.0,18,M,พนักงานบริษัท,17880.0,MC,HONDA,WAVE 100,2008,AO,22000,S3,2023-01-11,S2,NPL,22,15
1511,26000.0,26000.0,36,M,อื่นๆ,25000.0,MC,HONDA,WAVE 125 I,2018,DC,34900,S2,2022-11-21,S1,NPL,40,5
1514,19500.0,19500.0,36,F,STREET VENDOR,10000.0,MC,HONDA,CLICK 125I,2014,AO,26000,S2,2022-11-24,S1,NPL,26,9
1515,18700.0,18700.0,36,F,อื่นๆ,11000.0,MC,YAMAHA,FINO (MLEKE),2012,AE,25000,S2,2022-11-18,S1,NPL,34,11
1516,31000.0,31000.0,36,F,อื่นๆ,10000.0,MC,HONDA,DREAM 110,2014,CA,42000,S2,2022-11-27,S1,NPL,51,9
1517,30000.0,30000.0,12,F,พนักงานบริษัท,15000.0,MC,HONDA,WAVE 110 I,2016,CM,40000,S2,2022-11-29,S1,NPL,43,7
1518,11000.0,11000.0,12,F,STREET VENDOR,20000.0,MC,GPX,DEMON 125,2016,AF,16000,S2,2022-11-18,S1,NPL,56,7
1519,218000.0,218000.0,48,M,ข้าราชการ,24050.0,CAR,TOYOTA,VIOS,2013,DU,290000,S3,2023-01-13,S2,NPL,36,10
1520,26400.0,26400.0,24,F,เกษตรกร,15000.0,MC,HONDA,WAVE 110 I,2014,CH,35000,S2,2022-11-29,S1,NPL,23,9
1521,134600.0,134600.0,60,M,อื่นๆ,12000.0,PU,MITSUBISHI,TRITON,2006,AH,222500,S2,2022-11-18,S1,NPL,36,17
1522,32000.0,32000.0,24,M,STREET VENDOR,30000.0,MC,YAMAHA,GRAND FILANO 125,2016,CI,35000,S2,2022-11-29,S1,NPL,46,7
